"year","agegp","agemid","pctown","where","cohort"
2001,"15-19",17.5,2.11168653900197,"AKL",27.5
2006,"15-19",17.5,3.02928533046749,"AKL",22.5
2013,"15-19",17.5,2.22678265131095,"AKL",17.5
2001,"20-24",22.5,5.72616117186554,"AKL",32.5
2006,"20-24",22.5,6.20620620620621,"AKL",27.5
2013,"20-24",22.5,4.04415037237041,"AKL",22.5
2001,"25-29",27.5,22.9663407659311,"AKL",37.5
2006,"25-29",27.5,19.7753300751331,"AKL",32.5
2013,"25-29",27.5,15.4794388623158,"AKL",27.5
2001,"30-34",32.5,43.5701882809574,"AKL",42.5
2006,"30-34",32.5,39.4829958718302,"AKL",37.5
2013,"30-34",32.5,33.2339114929486,"AKL",32.5
2001,"35-39",37.5,57.0190813188267,"AKL",47.5
2006,"35-39",37.5,52.6336755017619,"AKL",42.5
2013,"35-39",37.5,45.8487484584875,"AKL",37.5
2001,"40-44",42.5,64.899072558647,"AKL",52.5
2006,"40-44",42.5,60.8462546074877,"AKL",47.5
2013,"40-44",42.5,53.8904553362529,"AKL",42.5
2001,"45-49",47.5,70.6404272318237,"AKL",57.5
2006,"45-49",47.5,66.3469831303688,"AKL",52.5
2013,"45-49",47.5,59.0979733930126,"AKL",47.5
2001,"50-54",52.5,74.8377958512291,"AKL",62.5
2006,"50-54",52.5,70.562068678806,"AKL",57.5
2013,"50-54",52.5,63.68125776867,"AKL",52.5
2001,"55-59",57.5,74.9266682962601,"AKL",67.5
2006,"55-59",57.5,73.5855247738246,"AKL",62.5
2013,"55-59",57.5,66.2791639662994,"AKL",57.5
2001,"60-64",62.5,73.54947497509,"AKL",72.5
2006,"60-64",62.5,72.8941617233843,"AKL",67.5
2013,"60-64",62.5,68.5691506823618,"AKL",62.5
2001,"65-69",67.5,73.4695932339911,"AKL",77.5
2006,"65-69",67.5,71.4320076972418,"AKL",72.5
2013,"65-69",67.5,70.1856825878781,"AKL",67.5
2001,"70-74",72.5,75.5382907880133,"AKL",82.5
2006,"70-74",72.5,71.636759108211,"AKL",77.5
2013,"70-74",72.5,68.8838161209068,"AKL",72.5
2001,"75-79",77.5,75.3139230026218,"AKL",87.5
2006,"75-79",77.5,73.2874968169086,"AKL",82.5
2013,"75-79",77.5,66.3932558669401,"AKL",77.5
2001,"80-84",82.5,70.0372208436725,"AKL",92.5
2006,"80-84",82.5,70.7192083406962,"AKL",87.5
2013,"80-84",82.5,67.0817958179582,"AKL",82.5
2001,"85+",87.5,53.8381472807702,"AKL",97.5
2006,"85+",87.5,57.0338058887677,"AKL",92.5
2013,"85+",87.5,57.2871572871573,"AKL",87.5
2001,"15-19",17.5,1.23784578953034,"RONZ",27.5
2006,"15-19",17.5,1.99459258179934,"RONZ",22.5
2013,"15-19",17.5,1.49513552207725,"RONZ",17.5
2001,"20-24",22.5,6.40183847669074,"RONZ",32.5
2006,"20-24",22.5,6.95428324470584,"RONZ",27.5
2013,"20-24",22.5,5.14711021035712,"RONZ",22.5
2001,"25-29",27.5,28.1703313103174,"RONZ",37.5
2006,"25-29",27.5,24.7130061814053,"RONZ",32.5
2013,"25-29",27.5,20.2684455551301,"RONZ",27.5
2001,"30-34",32.5,49.794217153221,"RONZ",42.5
2006,"30-34",32.5,45.867480850608,"RONZ",37.5
2013,"30-34",32.5,37.7524796209292,"RONZ",32.5
2001,"35-39",37.5,62.9434514809569,"RONZ",47.5
2006,"35-39",37.5,58.7584362869062,"RONZ",42.5
2013,"35-39",37.5,51.7007929061574,"RONZ",37.5
2001,"40-44",42.5,70.9245781270128,"RONZ",52.5
2006,"40-44",42.5,66.8326647998184,"RONZ",47.5
2013,"40-44",42.5,60.0079201647394,"RONZ",42.5
2001,"45-49",47.5,75.8849197008926,"RONZ",57.5
2006,"45-49",47.5,72.355757908784,"RONZ",52.5
2013,"45-49",47.5,66.1591948183896,"RONZ",47.5
2001,"50-54",52.5,79.2339481135685,"RONZ",62.5
2006,"50-54",52.5,76.5638136123781,"RONZ",57.5
2013,"50-54",52.5,70.5980502726837,"RONZ",52.5
2001,"55-59",57.5,81.0301630968756,"RONZ",67.5
2006,"55-59",57.5,79.7791882031012,"RONZ",62.5
2013,"55-59",57.5,74.6019553072626,"RONZ",57.5
2001,"60-64",62.5,81.4419187603259,"RONZ",72.5
2006,"60-64",62.5,81.5408758766122,"RONZ",67.5
2013,"60-64",62.5,77.4993774304159,"RONZ",62.5
2001,"65-69",67.5,82.4010959636461,"RONZ",77.5
2006,"65-69",67.5,82.1621778837764,"RONZ",72.5
2013,"65-69",67.5,80.0517730021647,"RONZ",67.5
2001,"70-74",72.5,82.2692487335178,"RONZ",82.5
2006,"70-74",72.5,82.060570931749,"RONZ",77.5
2013,"70-74",72.5,80.6008880687388,"RONZ",72.5
2001,"75-79",77.5,79.7715632506912,"RONZ",87.5
2006,"75-79",77.5,80.0790115155081,"RONZ",82.5
2013,"75-79",77.5,79.277871283161,"RONZ",77.5
2001,"80-84",82.5,73.4836478893531,"RONZ",92.5
2006,"80-84",82.5,75.7601149150108,"RONZ",87.5
2013,"80-84",82.5,75.1972000208954,"RONZ",82.5
2001,"85+",87.5,56.0161305448748,"RONZ",97.5
2006,"85+",87.5,59.6506690169057,"RONZ",92.5
2013,"85+",87.5,61.5029779282962,"RONZ",87.5
